screen_names,texts
AltieriDario,RT @JorgeLandi4: @MarianellaVale8 Critican la rural del prado porque pertenece a un mundo que no entienden ni entenderán jamás: EL INTERIOR
nbortolotto,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
salminia_uy,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
tozurdo,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
andreavils1506,"RT @M24radio: Rural del Prado «tuvo protocolo estricto», mientras que la Marcha por la Diversidad «fue una irresponsabilidad», dijo Lacalle…"
CurbeloDana,"@ramiropiru1977 Si soy periodista le pregunto
Usted cree que este tema tan delicado se debe tomar como un partido d… https://t.co/2YSWbiQ0Wv"
MatiiKing1891,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
maiaavellana,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
menendez012002,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
FlaviaLpez12,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
JULIARO1616,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
Flor63433555,"Con la rural del prado que se siguió un protocolo, se cumplió con todas las pautas para nuestra seguridad y para el resto de las personas."
luliferrin,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
MariaLauraMCIF,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
e_machado2,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
JorgeLandi4,@MarianellaVale8 Critican la rural del prado porque pertenece a un mundo que no entienden ni entenderán jamás: EL INTERIOR
alvezpat,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado"
namariarussi8,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
Gmeznan,RT @RominaPesce5: Rural del prado (cumpliendo protocolo) // marcha de la diversidad ¿qué es el protocolo? https://t.co/8HJr2MkFnk
