screen_names,texts
meluengo_,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Milisantost,"“En la rural del prado atentaron contra la salud de la gente, entonces nosotros tenemos que salir a hacer lo mismo”… https://t.co/pEvWJuErNl"
r_soleee,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado htt…"
gabygaby0408,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
YuliStraumann,"No se los lee hablando de la aglomeración de personas, ni del presidente en la rural del prado sin tapabocas, hacie… https://t.co/JX2ul4VVmT"
NancyBlanchar17,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
ThammMartinezz,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
BeatrizCambiado,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
joaquinurioste,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
ADonyaMartinez,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
yennycelhotmai1,@UruPorque @gordo_verde Esta misma carta la hiciste @gordo_verde por toda la gente que se acumuló en la Rural del P… https://t.co/WdCyOZ7EVX
RoxanaTrigo1,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
leandrxrxdri17,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
emilia_rg22,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
had2bukr,@Gabriela1881963 @GilbenFa @portalmvd Prejuicioso es condenar una marcha de la diversidad pero no condenar la rural del prado
AlbaLuzRodrgue5,RT @profcollette: Indignación selectiva o hipócrita? Muchos están indignaron con la marcha de la Diversidad y el peligro de la propagación…
bakernany3,@wittynat12 @RominaPesce5 @DrDanielSalinas En la Rural del Prado había entrada limitada y controlada por ARU. La IM… https://t.co/PGs8bqpJcX
mateo0_10,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
aguslopez97,"Bo que onda esa doble moral para cuestionar las marchas y no los shoppings, la rural del prado o los actos de los partidos?"
CharlieSuarez70,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
dulcefontenla,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
berro_sylvia,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
CopyofA,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
_chulii,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Totyy_Pereiraa,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
DottaKellogg,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
Soraya_noemi,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
JAlbertoMari,@CLGOES @triciapa72 @TATIAMESTOY @Dedosuy @LuisLacallePou @AlvaroDelgadoUy @MartinLemaUy @JavierGarcia_Uy… https://t.co/2q0QHxbObf
EnzoCarreras,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
agustinloza1,RT @MauroM29: Cómo detectar a un imbécil: Compara la marcha de la diversidad con la rural del Prado.
_marcearias_,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
BechiMiguel,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
agustinviettro7,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
AndresG_Ok,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
Jdos2020,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
Pedringonsan,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
mimarof,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
AlvezFreire,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
waltersena8,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
yaazp_,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
BriGallardo12,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
oriilema,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Rosa16284810,@marcelopasquet1 Coincido que en este caso el Estado no actuó. Indigna la irresponsabilidad de la mayoría de los qu… https://t.co/ROcq1T4BVP
cristianciro_,"RT @LuisEsMiSombra: Bo, mucho indignado por ahí con la marcha de la diversidad y el peligro de propagar el covid-19 pero pocas ganas de ind…"
rominitaegr,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
nicobravo_92,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
escusandra,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
rolfencia23,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
Damian_R_A,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
_saanticastro,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
agusoteloc,@aleeluc_ En realidad me indigna en general toda la falta de conciencia que se tiene sobre la pandemia no solo fue… https://t.co/wq2tdw889E
moreenita13,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
maguiraspu,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
cristinaandra26,RT @leandro_calvo: Las vacas de la rural del prado riéndose de que se preocupan por el #coronavirusenuruguay debido a la #MarchaDeLaDiversi…
Ra15Snchez,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
gaucho48,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
marisleyluz,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
BarriosAnza,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado htt…"
azulblue96,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
nestorfabian74,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
arivapai,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
rodriguez_tatti,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
ffleita,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
LuLarramendi,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
Katia14199763,RT @MicaPerdomo_: Los mismo que salieron a quejarse por la rural del prado(evento realizado con las medidas necesarias) son los mismos que…
Emiliano9810,"En una semana o dos va a haber un rebrote del bicho 'e mierda este, los frentachos le van a echar la culpa a la Rur… https://t.co/f3tzTCwYSN"
micaa_tejera,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
Rodrigo_m0rales,"RT @leonardoelec: @M_modernel Te parece comparar la Rural del Prado con esto, en 15 días te enterarás. 👇 https://t.co/1GtgpTKOQs"
marcosmmand,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Rodrigo_m0rales,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
ffleita,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
msalgueirom,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
AntoHaller,"RT @eliivanov0004: No se puede hacer fiestas(graduaciones,casamientos, cumpleaños) con aprox 150 personas aaaaaaaaa pero cuidado que si se…"
Beli33112641,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
quererserlibre,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
MAviaga,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
espressodbl,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
jp_greno98,RT @MauroM29: Cómo detectar a un imbécil: Compara la marcha de la diversidad con la rural del Prado.
Nai248,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado"
eugeniapirezz,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Gabriel44369209,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
AguusMorgade,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Javierd73341190,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
ClaraMaRodri14,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
carlos_morosoli,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
diego_318,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
MattoJuanma,RT @callateRodrigo: Los que fueron a la rural del prado y criticaron la marcha de la diversidad??????
PJPdeL,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
antunez_rogelio,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
_anatabeira,"RT @LuisEsMiSombra: Bo, mucho indignado por ahí con la marcha de la diversidad y el peligro de propagar el covid-19 pero pocas ganas de ind…"
Natalia12859551,RT @profcollette: Indignación selectiva o hipócrita? Muchos están indignaron con la marcha de la Diversidad y el peligro de la propagación…
GaybrielFM,RT @saintg_ok: Y la rural del prado? Los actos políticos? Cierre de campañas? Las votaciones? Los actos en comités post elecciones? Chúpame…
namariarussi8,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
RosesTinto77,RT @MauroM29: Cómo detectar a un imbécil: Compara la marcha de la diversidad con la rural del Prado.
nestorcerro,"@alnigge @EsJapones @MSPUruguay Los 31 infectados de hoy son consecuencia de la rural del prado,, encuentro religio… https://t.co/O3aa8e60A8"
KevinSan514,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
Giineebra,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
forestfag,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
aveagus1,"Perdon pero en la rural te obligaban a andar con el tapabocas, mi hermana lo tenia por abajo de la nariz y venia un… https://t.co/kNhnKnsmYK"
camiabrilB,A pero si la aglomeración es la rural del prado no decimos nada! el covid haciendo distinción de clases https://t.co/eaJEBVlOLS
Joaccojoacco,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
claridi_,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
mateosolari1,@RobertSilva1971 Marcha por la diversidad sin protocolo 👎👎copa libertadores 👎👎rural del prado 👎👎elecciones presenci… https://t.co/dtie4uOPXQ
docflowuy,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado"
Nacho_Tassanoo,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
MateoBernaola7,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
AndresFacundoUy,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
cotidesotoo,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
mendiburum,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
LuisDan31399084,RT @M_modernel: @gera_nunez1001 La rural del prado https://t.co/Ih5uysiLQm
GimenaG18,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
lauta_schmidt07,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
JorgeGa23435848,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado"
inesgardil,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
_marcearias_,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
fernandopicos18,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
esantacruz21,"@portalmvd El Gordo como buen sicólogo, apela a la Emoción y a la Victimizacion xa subliminalmente criticar la Marc… https://t.co/h25TXYglyQ"
DayseFe15530012,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
paulicaorsi,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado"
joseripoll18,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
betmedno,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
iminutti,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
dbe11on,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
Walter43357773,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
paulafer9023,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
AngelaCayetano8,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Mardtu,RT @zurdodesuarez: @danilotegaldo Che Danilo me parece que te olvidaste de la rural del prado https://t.co/sIys4jZorc
SMC12762836,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
Mauro_Sequeira0,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
MarceloLiard,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
merenguensen,"Solo espero que los mismos que se indignan por la rural del prado se indignen por la marcha de anoche. 
A los hecho… https://t.co/HO0HrwbGml"
etzodiac,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
camboue,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
rominaba12,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado"
Yoseline14,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
Agronegocios_Uy,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
LaabuCeleste04,Y la RURAL DEL PRADO????? https://t.co/DlUVJWJvfO
LauraInchausti5,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado"
SDanco3,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
LauraInchausti5,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
anitakaac,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
edurne1001,"RT @esantacruz21: Mañana 20 y 30 hs todos a 18 con Tapabocas y Banderas !
Será un día de Esperanza xa estos 5 años xa ayudar a la Gente con…"
m_delucchi,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
MissAlcoholGel,"@FedeEconomics @FeuerSnake En algún lugar de Canelones... 👇 Pero marchas condescendientes, Rural del Prado, Patrimo… https://t.co/4c3QEJS3Hp"
KrmenSanDiego,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
felipesagasta_,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
danrodmac1,"RT @VeronicaRF1272: Que disparate la ""gente"" que fue 7 días seguidos a la Rural del Prado... Nos arriesgan a tooodooos cero empatía heeee🙄👀…"
SofiaMorosoli,RT @MauroM29: Cómo detectar a un imbécil: Compara la marcha de la diversidad con la rural del Prado.
Gabriel13515138,@danilotegaldo Rural del prado ? https://t.co/yX7jz5lldi
martin1891_,@Graciela_Ghemi @sinae_oficial @compresidencia @MSPUruguay @opsoms @opsomsuruguay Hay algun caso que haya sido por la Rural del Prado?
ivana36036299,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
ComunicaMarket1,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
MachadoFabian1,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
FacuJuarez08,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado"
LatreLauty,RT @mango_dangow: el sistema de salud de uruguay cuando se entera de el caldo de cultivos que fue la aglomeraciones en la rural del prado y…
1891nacho,"A 15 dias de ya comenzada la Rural del Prado hoy se dan 31 casos  nuevos, casualidad ?"
claupirizcuadro,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
esantacruz21,"RT @esantacruz21: Mañana 20 y 30 hs todos a 18 con Tapabocas y Banderas !
Será un día de Esperanza xa estos 5 años xa ayudar a la Gente con…"
ce_lopez02,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Joaquinque1,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
marcelacedres,"RT @danilotegaldo: Rural del Prado. En últimas tres semanas y según hilo epidemiologico del MSP hasta hoy, ninguno de los casos positivos c…"
KCastroman,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Nahueeehh,"RT @StephiMelo: “El gobierno matándose” y habilitaron hace dos semanas la rural del Prado para 15.000 personas. En fin, la hipocresía."
nicosil3199,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
waltersolouno,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
JuanchoE21,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado"
Mikaela125carta,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
luciacluzet,RT @MauroM29: Cómo detectar a un imbécil: Compara la marcha de la diversidad con la rural del Prado.
MKnck,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
Rojoazulyblanc1,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
giuliano_manya,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado"
LuciaaSosaaa,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
FedericoMart4,"RT @la_sarli: ""Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse con la…"
AliciaB11037130,"@fionalapri Una compañera recién preguntó si no tendrán algo que ver los chicos de la rural del Prado...
Y sí!!!!So… https://t.co/hOnidg6bAV"
MariaYuliNuez,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
MeliCorujo,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
La_July8,"RT @VeronicaRF1272: Que disparate la ""gente"" que fue 7 días seguidos a la Rural del Prado... Nos arriesgan a tooodooos cero empatía heeee🙄👀…"
Manuel_Rimoldi,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
unapersona0k,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
ElTigreBlanco17,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
tatitadani,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
RosanaPedrozo4,@MaraLop68606113 @MercedesVigilUY Lo bueno es que hoy ya hay 31 casos... 17 en Montevideo debe ser de la rural del Prado...
romijubin,"RT @LuisEsMiSombra: Bo, mucho indignado por ahí con la marcha de la diversidad y el peligro de propagar el covid-19 pero pocas ganas de ind…"
OliveraA17,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
ThomasDeakin3,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado"
MariquenaAlvar2,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Facundo3018,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
aguscedres19,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
gaboribe,"Se quejaron a no dar más de la rural del prado, tuvieron la oportunidad de demostrar que son mejores, más responsab… https://t.co/tWlfoW6ISl"
malfoyfixed,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
anaarizzooo,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
carotavarez03,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Sayonarajara7,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
La_July8,"RT @salernata: @DrDanielSalinas Con el debido respeto, 6 meses del virus circulando en Uy, Rural del Prado, acto elecciononario mañana, si…"
tatitadani,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
RubenPena1957,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado"
rrromividal,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Sergio12051,RT @gera_nunez1001: Mucho indignado con la marcha de la diversidad y el peligro de propagar el covid-19. Pero pocas ganas de  indignarse co…
gaia_var,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
