Id,Label,timeset,afinidad,modularity_class,pageranks,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality
1300903189529624576,Marzo49339640,,,5,0.000123,0,5,5,7,0.283602,0.308887,0,0,0.007821,0,6,0.25,0
3923674463,jmenendez251,,,5,0.000298,8,7,15,7,0.299943,0.325881,0.000862,0.006967,0.008667,0,2,0.439394,0.084813
1177229784650309632,Pedro89980905,,,5,0.000211,5,9,14,7,0.307289,0.339875,0.000001,0.004649,0.009524,0,2,0.507576,0.053053
2563964088,AraceLucia,,,5,0.000333,10,17,27,7,0.326013,0.362605,0.000002,0.008909,0.018505,0,2,0.587719,0.113845
2647939037,Ferchu2775,,,5,0.00042,14,22,36,7,0.331447,0.369974,0.000048,0.010124,0.01792,0,2,0.614719,0.132982
2721290224,canastasia33,,,5,0.000409,14,23,37,7,0.332597,0.370843,0.000931,0.010257,0.023167,0,2,0.468333,0.131767
1257013602881613824,Wasele5,,,5,0.000488,18,24,42,6,0.343322,0.383065,0.000058,0.012142,0.015565,0,2,0.516304,0.156934
307361776,AndresMdf182,,,5,0.000597,14,12,26,6,0.351802,0.384472,0.000762,0.010325,0.009088,0,2,0.477124,0.110123
2784619792,SlNPlEDAD,,,5,0.000696,25,35,60,7,0.334497,0.379644,0.000258,0.016424,0.028926,0,2,0.520168,0.22863
2584338322,wfeijo08,,,5,0.000152,2,5,7,6,0.324507,0.353716,0,0.002312,0.003477,0,2,0.6,0.020846
747205588787027968,KokeTrainer,,,5,0.000874,25,37,62,7,0.340549,0.384339,0.001548,0.015836,0.021757,0,2,0.48293,0.221042
3371440697,gfcrisera,,,5,0.000278,8,10,18,7,0.313597,0.348557,0.00001,0.006416,0.013314,0,2,0.565934,0.070566
426144922,bebaschenini,,,5,0.000599,26,19,45,7,0.32672,0.365445,0.000388,0.019147,0.020642,0,2,0.468254,0.224535
1040704616852348800,Gonzalo48Lalo,,,5,0.000416,19,19,38,6,0.339671,0.377008,0.000051,0.015635,0.01786,0,2,0.529101,0.164563
1075867001480986624,Susanariccetto1,,,5,0.000559,22,23,45,7,0.328042,0.367532,0.000034,0.017354,0.01833,0,2,0.640152,0.217229
1132042811312922624,ismacaste,,,5,0.000424,15,32,47,7,0.331969,0.375097,0.000061,0.009438,0.026847,0,2,0.469758,0.127962
942829983147397248,koricanchi,,,5,0.000608,22,34,56,7,0.351216,0.39264,0.000304,0.016038,0.031911,0,2,0.433974,0.204104
1097632450203795584,ConcepcinRolln1,,,5,0.000795,37,53,90,6,0.360219,0.409187,0.000192,0.027611,0.038442,0,2,0.584906,0.333779
307476889,claucecill,,,5,0.000242,5,3,8,7,0.281668,0.304199,0.000091,0.003921,0.004815,0,2,0.285714,0.037938
1236705027634483200,Juana75141269,,,5,0.000182,4,9,13,7,0.314721,0.347845,0.00001,0.003378,0.007298,0,2,0.638889,0.040085
147726916,SuarezGladys,,,5,0.000766,28,24,52,7,0.327736,0.367105,0.000113,0.020902,0.021289,0,2,0.528521,0.267995
2411869212,lucia_minutti,,cm,3,0.002533,72,109,181,6,0.382161,0.453479,0.010706,0.071541,0.097623,0,2,0.236443,0.345391
1044869822562095232,solermar8,,,5,0.000504,16,23,39,6,0.351685,0.389437,0.000339,0.011631,0.031933,0,2,0.465608,0.167255
1269456433101385728,LeivasRaul,,,5,0.000289,11,34,45,6,0.379546,0.421458,0.001632,0.009805,0.044411,0,2,0.430481,0.107397
2557849888,joselinerosa82,,,5,0.000685,24,25,49,6,0.348776,0.387318,0.000387,0.016229,0.017904,0,2,0.604615,0.207719
877876114420625408,MaraIsabelMor13,,,5,0.001064,37,37,74,6,0.373759,0.41654,0.002153,0.024365,0.02186,0,2,0.487988,0.299502
156245580,CHARRUA10,,,4,0.000712,12,33,45,6,0.342987,0.383744,0.005103,0.004155,0.037466,0,2,0.132773,0.040569
1093659769901064192,GontadeLucia,,,5,0.000304,9,13,22,7,0.334603,0.370075,0.000021,0.007693,0.013521,0,2,0.554945,0.084189
713768810076049408,tianannita,,,5,0.000239,4,9,13,7,0.31064,0.343149,0.000002,0.003016,0.013724,0,2,0.444444,0.053052
438848258,lourdesfumero,,,5,0.000714,32,29,61,7,0.335455,0.375942,0.000719,0.022158,0.019631,0,2,0.467994,0.243246
1179620390454403072,Avatar48350112,,,5,0.000419,16,18,34,7,0.311834,0.35033,0.000003,0.012715,0.020494,0,2,0.648551,0.166929
1110845429065961600,Nemonaresusana1,,,5,0.000364,12,20,32,6,0.3411,0.379681,0.000016,0.009894,0.020547,0,2,0.578947,0.12142
789200037691531264,PosseNancy59,,,3,0.000339,12,34,46,6,0.375624,0.420889,0.000448,0.013745,0.055207,0,2,0.361905,0.065248
849954716490625024,chizodelca,,,3,0.000411,15,27,42,6,0.359727,0.401028,0.000926,0.017476,0.043219,0,2,0.312698,0.072693
3124420605,andreavils1506,,,5,0.000176,3,5,8,7,0.306841,0.336175,0,0.002986,0.006024,0,2,0.666667,0.035638
254537665,tereaxe78,,,5,0.001,40,42,82,7,0.355361,0.401037,0.001145,0.025118,0.029627,0,2,0.454932,0.325011
1559442102,ml_musto,,,5,0.000438,14,22,36,6,0.346028,0.383033,0.000947,0.010056,0.013321,0,2,0.347826,0.112452
1219991156433571840,ElPipaenLaPaz,,,3,0.000666,28,101,129,6,0.43126,0.489579,0.01904,0.026305,0.091105,0,2,0.171035,0.131075
218143641,inesgardil,,,3,0.000233,8,26,34,6,0.379683,0.421078,0.000376,0.010671,0.048315,0,2,0.384615,0.052983
141329027,mariareyesflore,,,3,0.000728,23,34,57,6,0.374423,0.419719,0.004167,0.028959,0.051451,0,2,0.348485,0.153287
1201257886179119104,adriana77507451,,,5,0.000165,3,5,8,7,0.303746,0.335052,0.000001,0.00224,0.00593,0,2,0.666667,0.024713
1238090372968038400,AnaJesu40725925,,,5,0.000332,11,13,24,6,0.335776,0.371126,0.000019,0.008064,0.009613,0,2,0.583333,0.094147
2189400882,Mikaela125carta,,,5,0.000182,4,3,7,6,0.325811,0.355218,0.000001,0.004158,0.005158,0,2,0.6,0.038505
