userFromName,userFromId,userToId,userToName
DANIELIBARBURU,181255571.0,2484849733.0,La_July8
Sodoma_Uy,3374895262.0,2484849733.0,La_July8
rossanaricci081,3066030407.0,2484849733.0,La_July8
fernando_britos,75576640.0,2484849733.0,La_July8
LauraSoca3,9.069811369576161e+17,2484849733.0,La_July8
tapabocaguantes,1520595384.0,2484849733.0,La_July8
fernando_britos,75576640.0,2484849733.0,La_July8
LauraSoca3,9.069811369576161e+17,2484849733.0,La_July8
tapabocaguantes,1520595384.0,2484849733.0,La_July8
JuanHryb1,9.910775640757248e+17,2484849733.0,La_July8
DavidGalMen1,1.2023343186784215e+18,2484849733.0,La_July8
Alfredo45642669,1.2705189370091725e+18,2484849733.0,La_July8
Rafaeltt591,1.039984351579177e+18,2484849733.0,La_July8
DANIELLATORREA3,1.123338441943593e+18,2484849733.0,La_July8
ceroestresssss,2856029219.0,2484849733.0,La_July8
Mercedi97449162,1.1909677008703078e+18,2484849733.0,La_July8
Lahamgatt,196554333.0,2484849733.0,La_July8
Salto_Noticias,4906226260.0,2484849733.0,La_July8
nachorossi09,2588837436.0,2484849733.0,La_July8
elisouto55,7.253281376561111e+17,2484849733.0,La_July8
MillorLujan,1.0529164598343639e+18,559954428.0,arielsaporiti
awaleman1,2693534743.0,559954428.0,arielsaporiti
AliciaB11037130,1.2857177065457828e+18,559954428.0,arielsaporiti
tozurdo,119449145.0,559954428.0,arielsaporiti
kamba_lucy,1.0617684234395894e+18,559954428.0,arielsaporiti
tinginda,7.715196951786332e+17,559954428.0,arielsaporiti
SirRangerVerde,385050279.0,559954428.0,arielsaporiti
Mabel546,1.0451170287330017e+18,559954428.0,arielsaporiti
Viruviru20,1.038253025515778e+18,559954428.0,arielsaporiti
MillorLujan,1.0529164598343639e+18,559954428.0,arielsaporiti
MillorLujan,1.0529164598343639e+18,559954428.0,arielsaporiti
awaleman1,2693534743.0,559954428.0,arielsaporiti
AliciaB11037130,1.2857177065457828e+18,559954428.0,arielsaporiti
tozurdo,119449145.0,559954428.0,arielsaporiti
kamba_lucy,1.0617684234395894e+18,559954428.0,arielsaporiti
tinginda,7.715196951786332e+17,559954428.0,arielsaporiti
SirRangerVerde,385050279.0,559954428.0,arielsaporiti
Mabel546,1.0451170287330017e+18,559954428.0,arielsaporiti
Viruviru20,1.038253025515778e+18,559954428.0,arielsaporiti
1891nacho,355202135.0,559954428.0,arielsaporiti
JUrruzola,483344480.0,559954428.0,arielsaporiti
congresofa,1.0399589794206106e+18,559954428.0,arielsaporiti
susanagladysfer,428380101.0,559954428.0,arielsaporiti
jaimenievesdiz,1438946659.0,559954428.0,arielsaporiti
adriana1tv,316590742.0,559954428.0,arielsaporiti
LeytonLujan,2648567151.0,559954428.0,arielsaporiti
marygambler,2415012890.0,559954428.0,arielsaporiti
123jose11,1380865328.0,559954428.0,arielsaporiti
enanogarcia2,1.2031763338634568e+18,559954428.0,arielsaporiti
AidaFue98173627,1.1772351548106138e+18,559954428.0,arielsaporiti
AnaSAlvarino,1.234253113739092e+18,559954428.0,arielsaporiti
lilianyorugua,4259552374.0,559954428.0,arielsaporiti
aedweard,1.2041586802011382e+18,559954428.0,arielsaporiti
LemaCelina,9.928648424312463e+17,559954428.0,arielsaporiti
Lunatica2020,1.045098661225599e+18,559954428.0,arielsaporiti
sacarcaretas,1.1893422801859953e+18,559954428.0,arielsaporiti
mapal_uru,2252535374.0,559954428.0,arielsaporiti
marina382,123436530.0,559954428.0,arielsaporiti
_YoNoLosVote,1.1760893898957496e+18,559954428.0,arielsaporiti
Nataliabrites5,9.898598312207688e+17,559954428.0,arielsaporiti
ClaudiaPrezUbi1,1.2341563717566218e+18,559954428.0,arielsaporiti
mahur05,7.9167102057916e+17,559954428.0,arielsaporiti
carlosvarela02,328625269.0,559954428.0,arielsaporiti
OmarSenande,2362903020.0,559954428.0,arielsaporiti
