id_str,screen_name,location,description,protected,verified,followers_count,friends_count,statuses_count,created_at
3115483851,RuralesElPaisUy,Uruguay,"La información del agro, todo el día y todos los días, en texto, audio e imagen.",False,True,12328,689,15808,2015-03-25 18:40:01
575761100,Tiatucura1,"Paysandú, Uruguay","Un lugar perdido del Uruguay profundo, con opinión propia. Ingeniero Agrónomo, filósofo y proseador. El alter ego paisano de un capitalino desvelado. Lo parió!",False,False,4310,4068,22513,2012-05-09 23:33:04
703790475896102912,jose_facal,,,False,False,551,325,1736,2016-02-28 03:55:00
713515258007199744,fonnsecaa_,,,False,False,243,376,20209,2016-03-25 23:57:48
127805926,sebas8_sosa,Uruguay//Montevideo,De Paso de los Toros ❤️,False,False,331,471,1973,2010-03-30 08:37:08
706470661611528192,romina_amm,Uruguay,💜♀️🏳️‍🌈♐,False,False,626,1291,9902,2016-03-06 13:25:06
1048262438599237632,Severo1909,"Rivera, Uruguay","Torcedor fanático do @SCInternacional e @LiverpoolFC1915, Militante del FA 🇧🇷🇺🇾",False,False,1546,1570,41515,2018-10-05 17:23:35
718816492859584512,vxlepaez,Uruwhy ,,False,False,551,209,27428,2016-04-09 15:03:01
4767023836,JPS_Insta,"Canelones, Uruguay","Director en JPS Instalciones.

*Desarrollos inmobiliarios.",False,False,144,285,2111,2016-01-10 19:09:40
1366139616,martin_pasaron,,,False,False,391,314,1471,2013-04-20 04:34:55
1618531046,Ce120Cua,"Rivera, Uruguay","Hdp con pinta de profesor en este país de Peñarol. Fiel enfermo al Fernet con Coca. Blanco y Herrerista. Me hago cargo de lo que digo, no de lo que interpretes.",False,False,572,2679,63126,2013-07-24 20:08:10
4388862695,observando111,,,False,False,1254,1155,151097,2015-12-06 01:31:06
3894248175,ElsieRinger,Uruguay,"No me gusta la corrupción ni las mentiras Feminista Profesional y Critica de lo que debo ser crítica Realista Blanca y ahora rosada, amarilla,verde y violeta",False,False,2015,1596,12076,2015-10-07 23:27:13
576760564,PortaldelaCarne,Uruguay,"Noticias de la cadena cárnica. Producción, alimentación, industria, política, negocios, análisis y todo lo vinculado.
Periodista Isabelino González Camejo",False,False,2088,1519,12890,2012-05-11 02:14:40
427830008,naranjaveloz,Uruguay,Sic mundus creatus est. Fmed-ASUR.,False,False,2018,758,15777,2011-12-04 01:14:40
808805112,JessicaPr1202,"Montevideo, Uruguay",Aca cosificamos sin discriminación//. Siempre se puede estar peor,True,False,998,481,58865,2012-09-07 12:47:16
2592068346,IsabelRosso2,"San José, Uruguay","Mamá de un divino, Bolsilluda y opinóloga de vereda.",False,False,1644,2839,30825,2014-06-27 22:54:38
312619775,zemafeso,Rocha,Hincha del mas grande del mundo!! Pero con argumentos!! no con griterio!! NACIONAL NOMA!!,False,False,1789,3457,11876,2011-06-07 12:11:05
747205588787027968,KokeTrainer,"Colonia, Uruguay",En el pasado futbolista hoy  entrenador de pura sangre militante frenteamplista hasta la medula. en la foto que se ve en portada una de mis ejemplaresTriunfando,False,False,815,2283,13313,2016-06-26 23:11:09
753300164081836032,SallmonelEscarl,Rio Tercero Cuarto Quinto,Ingeniero escatologico,False,False,56,438,1778,2016-07-13 18:48:49
163099401,sand_rodri,,,False,False,486,626,13342,2010-07-05 15:04:11
438848258,lourdesfumero,Uruguay,,False,False,689,731,23357,2011-12-17 02:54:58
572795655,CristopherIvan4,"La Paz, Canelones, Uruguay!","Lic. en RII Plan 1986, fder, Udelar. Amante de la vida, cristiano, hincha del carbonero querido. Futuro Profe de Derecho. Militante de la lista 40 del PN.",False,False,818,2008,25725,2012-05-06 15:11:29
1303470353847586816,AlanTricot,"Rivera, Uruguay",Técnico Constructor (IEC) Profesor de Tenis en Livramento Tênis Clube. Pequeño productor agropecuario.,False,False,15,64,5,2020-09-08 23:09:56
2151973646,macaalvariza22,"Buceo,Montevideo, Uruguay",➳ ✊🏼💜foca y de Peñarol como toda persona de bien,False,False,582,609,47426,2013-10-24 01:04:10
3305057031,Santi01_com,,,False,False,112,232,501,2015-05-31 22:17:11
1266496103412912128,FTerioro,allí donde haya una tortilla de papas bañada con salsa blanca,Cabeza dura mente podrida ojos en la nuca boca floja lengua larga cara dura pecho frío mano dura ombligo del mundo pies de barro culo sucio y bolas tristes,False,False,809,62,5885,2020-05-29 22:26:58
1281046245457514496,GuilleHambrook,Uruguay,"Cortos en las promesas, largos en el cumplimiento.",False,False,395,179,569,2020-07-09 02:03:29
2161634070,IsabelarbizaA,Paysandú,Abogada y Escribana--Profesional Independiente-En contra de la corrupción que influya en el Poder judicial e incompetencia en la función,False,False,418,554,9611,2013-10-28 21:30:03
317621020,MKnck,"Montevideo, Uruguay",,False,False,796,616,40953,2011-06-15 06:25:18
