,afinidad,pageranks,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering,eigencentrality,protected,verified,followers_count,friends_count,statuses_count
881,,0.000642,0.28212,0.317816,5.5e-05,0.0035009999999999998,0.020268,0.378788,0.040249,False,False,152.0,339.0,672.0
882,,0.0008699999999999999,0.295569,0.328334,0.000225,0.024377,0.03022,0.27665300000000004,0.084913,False,False,1277.0,578.0,2531.0
883,,0.000123,0.21460500000000002,0.232981,0.0,0.0,0.005038,0.666667,0.0,False,False,44.0,168.0,70.0
884,,0.000155,0.300799,0.333031,0.0,0.003137,0.014877000000000001,0.355556,0.014405000000000001,,,,,
885,,0.00014199999999999998,0.23510999999999999,0.253922,0.0,0.001424,0.014554,0.43333299999999997,0.009798999999999999,False,False,195.0,514.0,4943.0
886,,0.000123,0.24964499999999998,0.272976,0.0,0.0,0.01591,0.9,0.0,,,,,
887,cm,0.019913,0.297824,0.32983,0.017502,0.22863499999999998,0.023048,0.059548000000000004,1.0,False,False,66282.0,858.0,20611.0
888,,0.000123,0.24655300000000002,0.270467,0.0,0.0,0.009857,0.333333,0.0,False,False,76.0,307.0,4335.0
889,,0.00021400000000000002,0.27186,0.304763,0.0,0.001775,0.020835,0.663636,0.007983,,,,,
890,,0.000176,0.206182,0.21943400000000002,1e-06,0.0007030000000000001,0.00483,0.25,0.0034939999999999997,False,False,1198.0,219.0,667.0
891,,0.000123,0.252998,0.276124,0.0,0.0,0.017324000000000003,0.8,0.0,,,,,
892,,0.000872,0.289084,0.32522399999999996,3.5e-05,0.026035000000000003,0.024637,0.464962,0.11023499999999999,,,,,
893,,0.00031800000000000003,0.27577199999999996,0.308616,6.7e-05,0.003668,0.029932999999999998,0.385965,0.020773,,,,,
894,,0.000349,0.248292,0.269836,0.0015199999999999999,0.000709,0.004534000000000001,0.2,0.003118,False,False,320.0,351.0,810.0
895,,0.000133,0.319782,0.346119,3.1e-05,0.0014810000000000001,0.000674,0.0,0.008458,False,False,391.0,314.0,1471.0
896,,0.000133,0.315663,0.341976,0.0,0.0014810000000000001,0.00065,0.0,0.008458,False,False,558.0,362.0,22301.0
897,,0.000133,0.315663,0.341976,0.0,0.0014810000000000001,0.00065,0.0,0.008458,,,,,
898,,0.000295,0.319588,0.348191,6.9e-05,0.008114,0.0017879999999999999,0.49090900000000004,0.080956,False,False,617.0,561.0,37371.0
899,,0.000552,0.326316,0.35469,0.003433,0.0035090000000000004,0.0009660000000000001,0.214286,0.026948000000000003,,,,,
900,,0.000133,0.315663,0.341976,0.0,0.0014810000000000001,0.00065,0.0,0.008458,,,,,
901,,0.000123,0.226979,0.23876399999999998,0.0,0.0,0.000684,0.0,0.0,,,,,
902,,0.00015,0.268398,0.28828000000000004,0.0,0.002146,0.001175,0.666667,0.016333,False,False,47.0,51.0,1413.0
903,,0.000123,0.226979,0.23876399999999998,0.0,0.0,0.000684,0.0,0.0,,,,,
904,periodista,0.031325,0.327533,0.356214,0.130932,0.143374,0.005599,0.02196,0.995128,False,True,303904.0,1716.0,119033.0
